MEASUREMENT,DATASET_SIZE,PERF_METRIC,JOULES,RUNTIME_S,CORE_COUNT,SORT_VARIANT
Sorting,250000.0,power/energy-pkg/,1705.38,8.71777081489563,12.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,661.72,8.71777081489563,12.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1690.40,8.599694013595581,12.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,652.39,8.599694013595581,12.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1687.79,8.609756469726562,12.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,654.16,8.609756469726562,12.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1661.26,8.476256608963013,12.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,642.71,8.476256608963013,12.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1669.63,8.512306690216064,12.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,646.25,8.512306690216064,12.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1544.00,7.825278997421265,16.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,593.65,7.825278997421265,16.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1565.61,7.9301598072052,16.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,601.46,7.9301598072052,16.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1545.06,7.808731555938721,16.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,591.15,7.808731555938721,16.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1571.55,7.95232081413269,16.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,602.39,7.95232081413269,16.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1550.35,7.840313911437988,16.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,593.54,7.840313911437988,16.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1500.79,7.572072505950928,20.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,573.15,7.572072505950928,20.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1488.17,7.4264936447143555,20.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,562.99,7.4264936447143555,20.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1487.08,7.413045644760132,20.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,561.76,7.413045644760132,20.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1475.02,7.42025351524353,20.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,562.27,7.42025351524353,20.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1473.21,7.416000127792358,20.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,560.96,7.416000127792358,20.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1429.68,7.1818013191223145,24.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,543.53,7.1818013191223145,24.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1434.37,7.169107675552368,24.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,541.95,7.169107675552368,24.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1473.95,7.337605953216553,24.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,555.31,7.337605953216553,24.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1439.26,7.155750274658203,24.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,541.37,7.155750274658203,24.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1444.33,7.22027063369751,24.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,546.41,7.22027063369751,24.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1400.76,6.98095178604126,28.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,527.65,6.98095178604126,28.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1409.56,6.966681241989136,28.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,526.92,6.966681241989136,28.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1400.14,7.000624179840088,28.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,529.66,7.000624179840088,28.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1409.96,6.966813087463379,28.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,526.72,6.966813087463379,28.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1408.96,6.975411653518677,28.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,527.31,6.975411653518677,28.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1371.89,6.773796081542969,32.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,511.92,6.773796081542969,32.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1372.24,6.771604061126709,32.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,512.27,6.771604061126709,32.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1381.15,6.796494960784912,32.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,514.63,6.796494960784912,32.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1372.23,6.791663408279419,32.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,514.42,6.791663408279419,32.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1369.28,6.794482707977295,32.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,513.88,6.794482707977295,32.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1352.28,6.66844630241394,36.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,503.89,6.66844630241394,36.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1343.86,6.657677412033081,36.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,503.91,6.657677412033081,36.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1370.02,6.68567156791687,36.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,505.60,6.68567156791687,36.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1355.45,6.671371221542358,36.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,503.80,6.671371221542358,36.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1373.81,6.809145450592041,36.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,514.99,6.809145450592041,36.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1344.23,6.590967655181885,40.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,497.97,6.590967655181885,40.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1352.25,6.571821689605713,40.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,497.43,6.571821689605713,40.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1356.96,6.5782151222229,40.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,497.74,6.5782151222229,40.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1344.98,6.5957512855529785,40.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,499.56,6.5957512855529785,40.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1340.68,6.582154273986816,40.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,498.00,6.582154273986816,40.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1327.42,6.516693830490112,44.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,492.34,6.516693830490112,44.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1345.16,6.5522825717926025,44.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,495.67,6.5522825717926025,44.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1346.53,6.5322020053863525,44.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,493.33,6.5322020053863525,44.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1339.15,6.522402048110962,44.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,492.35,6.522402048110962,44.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1330.13,6.497840881347656,44.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,491.17,6.497840881347656,44.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1321.45,6.446056604385376,48.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,486.77,6.446056604385376,48.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1314.27,6.4295265674591064,48.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,486.57,6.4295265674591064,48.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1329.63,6.436993360519409,48.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,486.78,6.436993360519409,48.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1344.75,6.467791318893433,48.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,488.86,6.467791318893433,48.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1321.06,6.455573797225952,48.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,486.97,6.455573797225952,48.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1314.00,6.403860330581665,52.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,483.47,6.403860330581665,52.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1314.97,6.390257835388184,52.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,482.93,6.390257835388184,52.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1306.19,6.390710115432739,52.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,483.10,6.390710115432739,52.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1320.70,6.4370362758636475,52.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,486.59,6.4370362758636475,52.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1342.67,6.404788494110107,52.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,484.13,6.404788494110107,52.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1287.04,6.365223169326782,56.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,480.56,6.365223169326782,56.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1319.31,6.362176179885864,56.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,481.49,6.362176179885864,56.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1321.19,6.3702757358551025,56.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,480.91,6.3702757358551025,56.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1311.19,6.352229356765747,56.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,480.49,6.352229356765747,56.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1299.92,6.357120752334595,56.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,480.50,6.357120752334595,56.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1279.03,6.312045574188232,60.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,476.24,6.312045574188232,60.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1291.97,6.295358180999756,60.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,476.00,6.295358180999756,60.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1277.60,6.309890031814575,60.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,477.07,6.309890031814575,60.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1287.25,6.3156514167785645,60.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,477.57,6.3156514167785645,60.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1296.80,6.306879758834839,60.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,476.80,6.306879758834839,60.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1285.97,6.277285814285278,64.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,474.55,6.277285814285278,64.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1306.88,6.2663209438323975,64.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,474.12,6.2663209438323975,64.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1301.29,6.267985105514526,64.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,474.21,6.267985105514526,64.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1306.36,6.273245096206665,64.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,474.42,6.273245096206665,64.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1277.46,6.265766382217407,64.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,474.00,6.265766382217407,64.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1353.57,6.592533588409424,68.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,498.47,6.592533588409424,68.0,Parallel std::sort
