MEASUREMENT,DATASET_SIZE,PERF_METRIC,JOULES,RUNTIME_S,CORE_COUNT,SORT_VARIANT
Sorting,250000.0,power/energy-pkg/,2076.48,9.107869625091553,7.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,584.43,9.107869625091553,7.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,2072.33,9.096479892730713,7.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,582.87,9.096479892730713,7.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1959.65,8.539239168167114,8.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,548.02,8.539239168167114,8.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1963.59,8.528060674667358,8.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,547.81,8.528060674667358,8.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1965.45,8.533124446868896,8.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,547.23,8.533124446868896,8.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1966.11,8.524163484573364,8.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,547.33,8.524163484573364,8.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1964.53,8.5433828830719,8.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,548.61,8.5433828830719,8.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1877.91,8.111473798751831,9.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,521.80,8.111473798751831,9.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1882.31,8.096801042556763,9.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,520.78,8.096801042556763,9.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1880.73,8.090368747711182,9.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,520.27,8.090368747711182,9.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1884.09,8.09228253364563,9.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,520.91,8.09228253364563,9.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1882.09,8.082546710968018,9.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,519.56,8.082546710968018,9.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1806.24,7.744795083999634,10.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,498.89,7.744795083999634,10.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1836.33,7.867944717407227,10.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,506.98,7.867944717407227,10.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1812.61,7.738039493560791,10.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,498.03,7.738039493560791,10.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1810.05,7.728634834289551,10.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,499.06,7.728634834289551,10.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1810.17,7.724473237991333,10.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,498.59,7.724473237991333,10.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1704.51,7.221996068954468,12.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,466.47,7.221996068954468,12.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1706.75,7.215785980224609,12.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,466.23,7.215785980224609,12.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1707.30,7.206640005111694,12.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,465.70,7.206640005111694,12.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1706.88,7.210866689682007,12.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,465.61,7.210866689682007,12.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1711.02,7.220478296279907,12.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,466.28,7.220478296279907,12.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1575.43,6.583573341369629,16.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,427.06,6.583573341369629,16.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1580.22,6.567597150802612,16.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,426.17,6.567597150802612,16.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1580.71,6.566492080688477,16.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,426.38,6.566492080688477,16.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1580.64,6.566478490829468,16.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,426.10,6.566478490829468,16.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1579.83,6.566855430603027,16.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,426.60,6.566855430603027,16.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1489.50,6.269569158554077,20.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,406.60,6.269569158554077,20.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1493.28,6.258331775665283,20.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,406.38,6.258331775665283,20.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1495.78,6.2736451625823975,20.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,407.56,6.2736451625823975,20.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1492.93,6.258426189422607,20.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,406.64,6.258426189422607,20.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1496.23,6.266474485397339,20.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,407.02,6.266474485397339,20.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1430.61,6.04280686378479,24.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,392.95,6.04280686378479,24.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1438.22,6.036294937133789,24.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,392.69,6.036294937133789,24.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1435.66,6.030088901519775,24.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,392.73,6.030088901519775,24.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1435.01,6.02772855758667,24.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,392.94,6.02772855758667,24.0,Parallel std::sort
