MEASUREMENT,DATASET_SIZE,PERF_METRIC,JOULES,RUNTIME_S,CORE_COUNT,SORT_VARIANT
Sorting,250000.0,power/energy-pkg/,1928.53,8.567765712738037,4.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,189.54,8.567765712738037,4.0,Parallel std::sort
Sorting,250000.0,power/energy-psys/,0.00,8.567765712738037,4.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1925.98,8.556833744049072,4.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,189.37,8.556833744049072,4.0,Parallel std::sort
Sorting,250000.0,power/energy-psys/,0.00,8.556833744049072,4.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1930.53,8.581744909286499,4.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,189.47,8.581744909286499,4.0,Parallel std::sort
Sorting,250000.0,power/energy-psys/,0.00,8.581744909286499,4.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1921.49,8.529536485671997,4.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,188.41,8.529536485671997,4.0,Parallel std::sort
Sorting,250000.0,power/energy-psys/,0.00,8.529536485671997,4.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1961.46,8.760286092758179,5.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,193.24,8.760286092758179,5.0,Parallel std::sort
Sorting,250000.0,power/energy-psys/,0.00,8.760286092758179,5.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1784.76,7.821211099624634,5.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,173.39,7.821211099624634,5.0,Parallel std::sort
Sorting,250000.0,power/energy-psys/,0.00,7.821211099624634,5.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1783.68,7.814993381500244,5.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,173.06,7.814993381500244,5.0,Parallel std::sort
Sorting,250000.0,power/energy-psys/,0.00,7.814993381500244,5.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1784.70,7.821430683135986,5.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,173.57,7.821430683135986,5.0,Parallel std::sort
Sorting,250000.0,power/energy-psys/,0.00,7.821430683135986,5.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1781.85,7.8033833503723145,5.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,173.42,7.8033833503723145,5.0,Parallel std::sort
Sorting,250000.0,power/energy-psys/,0.00,7.8033833503723145,5.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1823.25,8.098388195037842,6.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,179.04,8.098388195037842,6.0,Parallel std::sort
Sorting,250000.0,power/energy-psys/,0.00,8.098388195037842,6.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1652.54,7.173638105392456,6.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,159.72,7.173638105392456,6.0,Parallel std::sort
Sorting,250000.0,power/energy-psys/,0.00,7.173638105392456,6.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1654.37,7.1814284324646,6.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,160.12,7.1814284324646,6.0,Parallel std::sort
Sorting,250000.0,power/energy-psys/,0.00,7.1814284324646,6.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1652.75,7.180629014968872,6.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,159.87,7.180629014968872,6.0,Parallel std::sort
Sorting,250000.0,power/energy-psys/,0.00,7.180629014968872,6.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1653.62,7.171858549118042,6.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,159.66,7.171858549118042,6.0,Parallel std::sort
Sorting,250000.0,power/energy-psys/,0.00,7.171858549118042,6.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1707.99,7.607797384262085,7.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,168.55,7.607797384262085,7.0,Parallel std::sort
Sorting,250000.0,power/energy-psys/,0.00,7.607797384262085,7.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1549.62,6.6787238121032715,7.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,148.72,6.6787238121032715,7.0,Parallel std::sort
Sorting,250000.0,power/energy-psys/,0.00,6.6787238121032715,7.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1556.48,6.7058305740356445,7.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,149.37,6.7058305740356445,7.0,Parallel std::sort
Sorting,250000.0,power/energy-psys/,0.00,6.7058305740356445,7.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1552.38,6.684086561203003,7.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,148.87,6.684086561203003,7.0,Parallel std::sort
Sorting,250000.0,power/energy-psys/,0.00,6.684086561203003,7.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1556.54,6.702573776245117,7.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,149.30,6.702573776245117,7.0,Parallel std::sort
Sorting,250000.0,power/energy-psys/,0.00,6.702573776245117,7.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1613.67,7.193593978881836,8.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,159.45,7.193593978881836,8.0,Parallel std::sort
Sorting,250000.0,power/energy-psys/,0.00,7.193593978881836,8.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1465.13,6.285388946533203,8.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,140.31,6.285388946533203,8.0,Parallel std::sort
Sorting,250000.0,power/energy-psys/,0.00,6.285388946533203,8.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1466.82,6.300811767578125,8.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,140.73,6.300811767578125,8.0,Parallel std::sort
Sorting,250000.0,power/energy-psys/,0.00,6.300811767578125,8.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1465.68,6.289795637130737,8.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,140.28,6.289795637130737,8.0,Parallel std::sort
Sorting,250000.0,power/energy-psys/,0.00,6.289795637130737,8.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1466.39,6.28848934173584,8.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,140.26,6.28848934173584,8.0,Parallel std::sort
Sorting,250000.0,power/energy-psys/,0.00,6.28848934173584,8.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1365.47,7.056448459625244,9.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,156.46,7.056448459625244,9.0,Parallel std::sort
Sorting,250000.0,power/energy-psys/,0.00,7.056448459625244,9.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1409.61,6.027979135513306,9.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,134.52,6.027979135513306,9.0,Parallel std::sort
Sorting,250000.0,power/energy-psys/,0.00,6.027979135513306,9.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1404.08,5.997645854949951,9.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,134.14,5.997645854949951,9.0,Parallel std::sort
Sorting,250000.0,power/energy-psys/,0.00,5.997645854949951,9.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1403.52,5.986751079559326,9.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,134.19,5.986751079559326,9.0,Parallel std::sort
Sorting,250000.0,power/energy-psys/,0.00,5.986751079559326,9.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1406.44,5.999263525009155,9.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,134.43,5.999263525009155,9.0,Parallel std::sort
Sorting,250000.0,power/energy-psys/,0.00,5.999263525009155,9.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1491.06,6.629878044128418,10.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,147.12,6.629878044128418,10.0,Parallel std::sort
Sorting,250000.0,power/energy-psys/,0.00,6.629878044128418,10.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1488.01,6.550533771514893,10.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,145.63,6.550533771514893,10.0,Parallel std::sort
Sorting,250000.0,power/energy-psys/,0.00,6.550533771514893,10.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1349.15,5.753035545349121,10.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,128.75,5.753035545349121,10.0,Parallel std::sort
Sorting,250000.0,power/energy-psys/,0.00,5.753035545349121,10.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1350.84,5.7442872524261475,10.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,128.72,5.7442872524261475,10.0,Parallel std::sort
Sorting,250000.0,power/energy-psys/,0.00,5.7442872524261475,10.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1382.88,5.892310857772827,10.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,131.97,5.892310857772827,10.0,Parallel std::sort
Sorting,250000.0,power/energy-psys/,0.00,5.892310857772827,10.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1368.98,7.178186893463135,12.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,159.09,7.178186893463135,12.0,Parallel std::sort
Sorting,250000.0,power/energy-psys/,0.00,7.178186893463135,12.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1263.93,6.266906023025513,12.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,139.79,6.266906023025513,12.0,Parallel std::sort
Sorting,250000.0,power/energy-psys/,0.00,6.266906023025513,12.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1287.58,5.44268012046814,12.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,122.31,5.44268012046814,12.0,Parallel std::sort
Sorting,250000.0,power/energy-psys/,0.00,5.44268012046814,12.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1282.51,5.415708303451538,12.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,121.45,5.415708303451538,12.0,Parallel std::sort
Sorting,250000.0,power/energy-psys/,0.00,5.415708303451538,12.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1281.85,5.409229040145874,12.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,121.26,5.409229040145874,12.0,Parallel std::sort
Sorting,250000.0,power/energy-psys/,0.00,5.409229040145874,12.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1270.69,5.553023099899292,16.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,123.88,5.553023099899292,16.0,Parallel std::sort
Sorting,250000.0,power/energy-psys/,0.00,5.553023099899292,16.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1286.89,5.5367271900177,16.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,123.62,5.5367271900177,16.0,Parallel std::sort
