MACHINE,NAME,VECTOR_SIZE,LOCALITY,OFFSET,RUNTIME_S
"nx06","No Prefetching",4000000000,-1,4,0.242705
"nx06","No Prefetching",4000000000,-1,4,0.242632
"nx06","No Prefetching",4000000000,-1,4,0.242657
"nx06","No Prefetching",4000000000,-1,4,0.242723
"nx06","No Prefetching",4000000000,-1,4,0.242749
"nx06","No Prefetching",4000000000,-1,4,0.242932
"nx06","No Prefetching",4000000000,-1,4,0.242665
"nx06","No Prefetching",4000000000,-1,4,0.242774
"nx06","No Prefetching",4000000000,-1,4,0.242518
"nx06","No Prefetching",4000000000,-1,4,0.228231
"nx06","No Prefetching",4000000000,-1,4,0.228324
"nx06","No Prefetching",4000000000,-1,4,0.22829
"nx06","No Prefetching",4000000000,-1,4,0.228196
"nx06","No Prefetching",4000000000,-1,4,0.228268
"nx06","No Prefetching",4000000000,-1,4,0.228272
"nx06","No Prefetching",4000000000,-1,4,0.228363
"nx06","No Prefetching",4000000000,-1,4,0.228041
"nx06","No Prefetching",4000000000,-1,4,0.228243
"nx06","No Prefetching",4000000000,-1,4,0.228177
"nx06","No Prefetching",4000000000,-1,4,0.22833
"nx06","No Prefetching",4000000000,-1,4,0.228194
"nx06","No Prefetching",4000000000,-1,4,0.228183
"nx06","No Prefetching",4000000000,-1,4,0.228887
"nx06","No Prefetching",4000000000,-1,4,0.228227
"nx06","No Prefetching",4000000000,-1,4,0.22834
"nx06","No Prefetching",4000000000,-1,4,0.228338
"nx06","No Prefetching",4000000000,-1,4,0.228316
"nx06","No Prefetching",4000000000,-1,8,0.242699
"nx06","No Prefetching",4000000000,-1,8,0.242484
"nx06","No Prefetching",4000000000,-1,8,0.242745
"nx06","No Prefetching",4000000000,-1,8,0.242639
"nx06","No Prefetching",4000000000,-1,8,0.242749
"nx06","No Prefetching",4000000000,-1,8,0.242659
"nx06","No Prefetching",4000000000,-1,8,0.242616
"nx06","No Prefetching",4000000000,-1,8,0.242826
"nx06","No Prefetching",4000000000,-1,8,0.242458
"nx06","No Prefetching",4000000000,-1,8,0.242802
"nx06","No Prefetching",4000000000,-1,8,0.242755
"nx06","No Prefetching",4000000000,-1,8,0.242632
"nx06","No Prefetching",4000000000,-1,8,0.242515
"nx06","No Prefetching",4000000000,-1,8,0.242786
"nx06","No Prefetching",4000000000,-1,8,0.242636
"nx06","No Prefetching",4000000000,-1,8,0.242764
"nx06","No Prefetching",4000000000,-1,8,0.24277
"nx06","No Prefetching",4000000000,-1,8,0.242708
"nx06","No Prefetching",4000000000,-1,8,0.242564
"nx06","No Prefetching",4000000000,-1,8,0.242697
"nx06","No Prefetching",4000000000,-1,8,0.24262
"nx06","No Prefetching",4000000000,-1,8,0.242769
"nx06","No Prefetching",4000000000,-1,8,0.24274
"nx06","No Prefetching",4000000000,-1,8,0.242986
"nx06","No Prefetching",4000000000,-1,8,0.24279
"nx06","No Prefetching",4000000000,-1,8,0.242457
"nx06","No Prefetching",4000000000,-1,8,0.242658
"nx06","No Prefetching",4000000000,-1,8,0.242694
"nx06","No Prefetching",4000000000,-1,8,0.24267
"nx06","No Prefetching",4000000000,-1,8,0.242746
"nx06","No Prefetching",4000000000,-1,8,0.242814
"nx06","No Prefetching",4000000000,-1,8,0.242677
"nx06","No Prefetching",4000000000,-1,8,0.22825
"nx06","No Prefetching",4000000000,-1,8,0.228327
"nx06","No Prefetching",4000000000,-1,8,0.228251
"nx06","No Prefetching",4000000000,-1,8,0.228161
"nx06","No Prefetching",4000000000,-1,8,0.228204
"nx06","No Prefetching",4000000000,-1,8,0.228306
"nx06","No Prefetching",4000000000,-1,8,0.228261
"nx06","No Prefetching",4000000000,-1,8,0.228111
"nx06","No Prefetching",4000000000,-1,8,0.228334
"nx06","No Prefetching",4000000000,-1,8,0.228265
"nx06","No Prefetching",4000000000,-1,8,0.228261
"nx06","No Prefetching",4000000000,-1,8,0.228163
"nx06","No Prefetching",4000000000,-1,8,0.228221
"nx06","No Prefetching",4000000000,-1,8,0.228399
"nx06","No Prefetching",4000000000,-1,8,0.228175
"nx06","No Prefetching",4000000000,-1,8,0.228377
"nx06","No Prefetching",4000000000,-1,8,0.228181
"nx06","No Prefetching",4000000000,-1,8,0.228427
"nx06","No Prefetching",4000000000,-1,16,0.242814
