MACHINE,NAME,VECTOR_SIZE,LOCALITY,OFFSET,RUNTIME_S
"cx23","No Prefetching",4000000000,-1,2,0.739158
"cx23","No Prefetching",4000000000,-1,2,0.703008
"cx23","No Prefetching",4000000000,-1,2,0.701896
"cx23","No Prefetching",4000000000,-1,2,0.699283
"cx23","No Prefetching",4000000000,-1,2,0.700924
"cx23","No Prefetching",4000000000,-1,2,0.700043
"cx23","No Prefetching",4000000000,-1,2,0.700628
"cx23","No Prefetching",4000000000,-1,2,0.75026
"cx23","No Prefetching",4000000000,-1,2,0.698279
"cx23","No Prefetching",4000000000,-1,2,0.703326
"cx23","No Prefetching",4000000000,-1,2,0.697939
"cx23","No Prefetching",4000000000,-1,2,0.701312
"cx23","No Prefetching",4000000000,-1,2,0.700191
"cx23","No Prefetching",4000000000,-1,2,0.697129
"cx23","No Prefetching",4000000000,-1,2,0.703781
"cx23","No Prefetching",4000000000,-1,2,0.701524
"cx23","No Prefetching",4000000000,-1,2,0.702189
"cx23","No Prefetching",4000000000,-1,2,0.698407
"cx23","No Prefetching",4000000000,-1,2,0.701436
"cx23","No Prefetching",4000000000,-1,2,0.697577
"cx23","No Prefetching",4000000000,-1,2,0.700696
"cx23","No Prefetching",4000000000,-1,2,0.703331
"cx23","No Prefetching",4000000000,-1,2,0.70201
"cx23","No Prefetching",4000000000,-1,2,0.815154
"cx23","No Prefetching",4000000000,-1,2,0.759416
"cx23","No Prefetching",4000000000,-1,2,0.737714
"cx23","No Prefetching",4000000000,-1,2,0.723158
"cx23","No Prefetching",4000000000,-1,2,0.708482
"cx23","No Prefetching",4000000000,-1,2,0.707691
"cx23","No Prefetching",4000000000,-1,2,0.700124
"cx23","No Prefetching",4000000000,-1,2,0.819201
"cx23","No Prefetching",4000000000,-1,2,0.70538
"cx23","No Prefetching",4000000000,-1,2,0.918901
"cx23","No Prefetching",4000000000,-1,2,0.800063
"cx23","No Prefetching",4000000000,-1,2,0.705578
